,year,location,total_house,total_house_male,total_house_female,total_people,total_people_male,total_people_female,total_people_below12,total_people_below12_male,total_people_below12_female,total_people_between12_17,total_people_between12_17_male,total_people_between12_17_female,total_people_between18_64,total_people_between18_64_male,total_people_between18_64_female,total_people_over65,total_people_over65_male,total_people_over65_female
42,2016,新竹市,932.0,464.0,468.0,2763.0,1312.0,1451.0,567.0,307.0,260.0,499.0,252.0,247.0,1668.0,738.0,930.0,29.0,15.0,14.0
43,2016,嘉義市,1461.0,867.0,594.0,4442.0,2174.0,2268.0,833.0,448.0,385.0,901.0,447.0,454.0,2675.0,1257.0,1418.0,33.0,22.0,11.0
44,2016,金門縣,127.0,55.0,72.0,350.0,152.0,198.0,76.0,38.0,38.0,75.0,35.0,40.0,186.0,70.0,116.0,13.0,9.0,4.0
45,2016,連江縣,36.0,27.0,9.0,122.0,65.0,57.0,22.0,13.0,9.0,23.0,10.0,13.0,76.0,42.0,34.0,1.0,0.0,1.0
46,2015,全國,117686.0,70854.0,46832.0,356185.0,177675.0,178510.0,75790.0,39215.0,36575.0,62524.0,31787.0,30737.0,212219.0,103494.0,108725.0,5652.0,3179.0,2473.0
47,2015,新北市,10520.0,5720.0,4800.0,30545.0,14646.0,15899.0,5770.0,2964.0,2806.0,4855.0,2458.0,2397.0,19241.0,8834.0,10407.0,679.0,390.0,289.0
48,2015,臺北市,5185.0,2762.0,2423.0,13465.0,6469.0,6996.0,2078.0,1112.0,966.0,1414.0,736.0,678.0,9352.0,4310.0,5042.0,621.0,311.0,310.0
49,2015,桃園市,1894.0,1060.0,834.0,5810.0,2840.0,2970.0,1171.0,631.0,540.0,1153.0,564.0,589.0,3447.0,1617.0,1830.0,39.0,28.0,11.0
50,2015,臺中市,12899.0,6766.0,6133.0,37585.0,18037.0,19548.0,8038.0,4127.0,3911.0,5817.0,2994.0,2823.0,22966.0,10487.0,12479.0,764.0,429.0,335.0
51,2015,臺南市,9587.0,5995.0,3592.0,31572.0,15606.0,15966.0,6060.0,3133.0,2927.0,5732.0,2862.0,2870.0,19378.0,9397.0,9981.0,402.0,214.0,188.0
52,2015,高雄市,25389.0,15727.0,9662.0,78652.0,38705.0,39947.0,15175.0,7824.0,7351.0,12745.0,6571.0,6174.0,49519.0,23670.0,25849.0,1213.0,640.0,573.0
53,2015,宜蘭縣,2187.0,1275.0,912.0,4489.0,2180.0,2309.0,1218.0,629.0,589.0,1083.0,554.0,529.0,2114.0,955.0,1159.0,74.0,42.0,32.0
54,2015,新竹縣,854.0,466.0,388.0,2861.0,1346.0,1515.0,550.0,274.0,276.0,569.0,283.0,286.0,1675.0,749.0,926.0,67.0,40.0,27.0
55,2015,苗栗縣,1347.0,755.0,592.0,4369.0,2152.0,2217.0,823.0,427.0,396.0,839.0,438.0,401.0,2577.0,1215.0,1362.0,130.0,72.0,58.0
56,2015,彰化縣,15117.0,9968.0,5149.0,48418.0,24437.0,23981.0,11179.0,5777.0,5402.0,8260.0,4148.0,4112.0,28496.0,14191.0,14305.0,483.0,321.0,162.0
57,2015,南投縣,5314.0,3139.0,2175.0,18264.0,9121.0,9143.0,4099.0,2090.0,2009.0,3527.0,1790.0,1737.0,10377.0,5087.0,5290.0,261.0,154.0,107.0
58,2015,雲林縣,2117.0,1504.0,613.0,6919.0,3532.0,3387.0,1458.0,747.0,711.0,1354.0,685.0,669.0,4000.0,2037.0,1963.0,107.0,63.0,44.0
59,2015,嘉義縣,3512.0,2478.0,1034.0,11206.0,5944.0,5262.0,2710.0,1382.0,1328.0,2609.0,1257.0,1352.0,5835.0,3268.0,2567.0,52.0,37.0,15.0
60,2015,屏東縣,13902.0,8728.0,5174.0,38630.0,20962.0,17668.0,10551.0,5494.0,5057.0,8282.0,4245.0,4037.0,19546.0,11067.0,8479.0,251.0,156.0,95.0
61,2015,臺東縣,2078.0,1164.0,914.0,6068.0,3125.0,2943.0,1278.0,690.0,588.0,997.0,532.0,465.0,3667.0,1829.0,1838.0,126.0,74.0,52.0
