,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y,總計
56,93年 4月,臺北市,1491,195,10,12,1,66,133,10,7,2,67,6,76,7,0,6,3,0,15,1,27,28,84,112,4,0,15,4,0,20,21,0,0,5,2,1,1,0,0,25,0,29,378,0,7,0,0,3,3,0,0,0,3,5,0,0,15,0,0,0,18,22,103,3043
57,93年 5月,臺北市,1593,223,15,6,0,77,255,14,7,1,72,7,61,8,1,2,6,0,15,5,32,40,101,86,3,0,16,7,0,14,19,0,0,5,0,1,1,0,0,17,0,20,567,0,17,2,0,0,0,0,0,0,4,2,0,0,13,0,0,1,17,22,102,3477
58,93年 6月,臺北市,1692,179,19,6,1,85,254,13,4,2,89,2,63,15,1,0,3,0,156,1,36,45,111,104,1,0,14,8,0,16,17,0,1,6,1,1,0,0,0,28,0,15,591,0,10,1,0,2,1,0,0,0,2,3,0,0,10,0,0,0,15,34,101,3759
59,93年 7月,臺北市,1627,190,6,16,0,82,328,13,6,1,100,7,91,8,1,1,10,1,26,3,37,40,140,111,1,0,23,5,0,15,36,0,7,4,0,2,1,0,0,27,0,7,510,0,11,3,0,1,2,0,0,0,3,7,0,0,11,0,0,0,40,25,165,3751
60,93年 8月,臺北市,1807,196,8,11,1,80,336,13,0,2,93,4,47,19,1,2,4,1,9,0,41,38,122,137,3,0,5,4,0,10,35,0,0,5,0,0,1,0,0,28,0,22,580,0,14,1,0,2,1,0,0,0,2,3,0,1,18,0,1,0,40,38,196,3982
61,93年 9月,臺北市,1790,225,4,5,4,86,140,19,6,0,78,5,34,12,0,1,5,0,32,0,33,37,115,139,1,0,17,5,0,8,10,0,4,4,1,1,1,0,0,31,0,12,468,0,14,0,0,0,4,0,0,0,2,5,0,0,21,0,0,0,45,46,218,3688
62,93年 10月,臺北市,1880,235,10,11,1,103,158,21,5,5,114,6,68,8,0,1,8,0,13,0,40,41,139,152,1,0,19,4,0,12,21,0,5,4,1,0,0,0,0,33,0,14,500,0,14,1,0,0,3,0,0,0,1,3,0,0,14,0,0,0,27,45,134,3875
63,93年 11月,臺北市,1949,249,7,15,2,122,155,23,5,4,93,7,70,18,1,2,8,1,24,1,46,48,163,188,4,0,15,3,0,16,34,0,36,5,3,0,0,0,0,32,0,16,624,0,12,2,0,0,2,0,0,0,0,4,0,0,11,0,0,1,33,84,123,4261
64,93年 12月,臺北市,1949,219,11,4,0,114,137,18,3,1,89,0,72,16,0,2,5,0,14,0,44,50,126,155,1,0,19,3,0,16,41,0,0,10,2,0,1,0,0,25,0,8,559,0,15,1,1,0,1,0,1,0,3,3,0,0,15,0,0,0,33,100,116,4003
66,94年 1月,臺北市,2171,228,5,12,1,57,91,18,8,5,61,1,36,12,0,4,3,0,12,2,17,37,224,286,2,0,8,3,3,19,14,0,2,0,1,0,0,0,0,20,0,3,536,0,6,0,0,0,1,0,0,0,2,3,0,1,10,0,0,0,47,18,118,4108
