,year,locality,population
309,92,臺中縣,1520376.0
310,92,彰化縣,1316443.0
311,92,南投縣,540397.0
312,92,雲林縣,740501.0
313,92,嘉義縣,560410.0
314,92,臺南縣,1106833.0
315,92,高雄縣,1237469.0
316,92,屏東縣,903772.0
317,92,臺東縣,242842.0
318,92,花蓮縣,351146.0
319,92,澎湖縣,92253.0
320,92,基隆市,392242.0
321,92,新竹市,382897.0
322,92,臺中市,1009387.0
323,92,嘉義市,269594.0
324,92,臺南市,749628.0
325,92,臺北市,2627138.0
326,92,高雄市,1509350.0
327,92,金門縣,60983.0
328,92,連江縣,8806.0
329,91,臺北縣,3641446.0
330,91,宜蘭縣,464107.0
331,91,桃園縣,1792603.0
332,91,新竹縣,452679.0
333,91,苗栗縣,560766.0
334,91,臺中縣,1511789.0
335,91,彰化縣,1316179.0
336,91,南投縣,541292.0
337,91,雲林縣,742797.0
338,91,嘉義縣,562394.0
339,91,臺南縣,1107583.0
340,91,高雄縣,1233395.0
341,91,屏東縣,906178.0
342,91,臺東縣,243965.0
343,91,花蓮縣,352154.0
344,91,澎湖縣,92446.0
345,91,基隆市,391450.0
346,91,新竹市,378797.0
347,91,臺中市,996706.0
348,91,嘉義市,267907.0
349,91,臺南市,745081.0
350,91,臺北市,2641856.0
351,91,高雄市,1509510.0
352,91,金門縣,58933.0
353,91,連江縣,8763.0
354,90,臺北縣,3610252.0
355,90,宜蘭縣,465799.0
356,90,桃園縣,1762963.0
357,90,新竹縣,446300.0
358,90,苗栗縣,560640.0
359,90,臺中縣,1502274.0
360,90,彰化縣,1313994.0
361,90,南投縣,541818.0
362,90,雲林縣,743562.0
363,90,嘉義縣,563365.0
364,90,臺南縣,1107397.0
365,90,高雄縣,1236958.0
366,90,屏東縣,909364.0
367,90,臺東縣,244612.0
368,90,花蓮縣,353139.0
369,90,澎湖縣,92268.0
370,90,基隆市,390966.0
371,90,新竹市,373296.0
372,90,臺中市,983694.0
373,90,嘉義市,267993.0
374,90,臺南市,740846.0
375,90,臺北市,2633802.0
376,90,高雄市,1494457.0
377,90,金門縣,56958.0
378,90,連江縣,8851.0
